subject,item,repetition,window,duration,sF0,strF0,pF0,CPP,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,Energy,HNR05,HNR15,HNR25,HNR35,onset,nuc,coda,asp,tone,voicing,semitones,register,contour,manner,pct
F1,bhaam2,3,2,328.853,190.239464285714,190.006464285714,192.474035714286,26.1909642857143,-2.31807142857143,5.74953571428571,12.7768928571429,15.5446785714286,17.9790714285714,11.8423214285714,14.4805714285714,0.0607857142857143,67.3768214285714,60.5738214285714,60.1558214285714,58.6368571428571,bh,aa,N,asp,21,voiced,-0.432432494511588,low,falling,obstruent,0.1
F1,bhaam2,3,3,328.853,184.356928571429,184.677821428571,187.263071428571,28.2055357142857,-2.19142857142857,3.1355,12.3730357142857,11.9046785714286,10.5056785714286,7.29653571428571,19.1943214285714,0.0585,60.9924285714286,55.8833928571429,55.2621428571429,54.9945357142857,bh,aa,N,asp,21,voiced,-0.924887092897063,low,falling,obstruent,0.2
F1,bhaam2,3,4,328.853,176.213892857143,176.932928571429,180.49425,27.5629285714286,-2.96889285714286,1.63025,12.9384642857143,10.6370714285714,5.3065,7.75007142857143,19.485,0.05725,58.5055714285714,51.4793928571429,49.51775,49.1563571428571,bh,aa,N,asp,21,voiced,-1.66658368206053,low,falling,obstruent,0.3
F1,bhaam2,3,5,328.853,167.181214285714,167.482571428571,170.932107142857,26.8101785714286,-2.68310714285714,3.0235,13.1623928571429,13.5468928571429,6.72689285714286,7.07978571428571,20.2774642857143,0.0478214285714286,52.4432857142857,44.2357857142857,43.8839285714286,44.6801428571429,bh,aa,N,asp,21,voiced,-2.61688283345655,low,falling,obstruent,0.4
F1,bhaam2,3,6,328.853,162.480892857143,160.198964285714,164.344071428571,27.8122142857143,-2.43414285714286,5.10739285714286,15.7196428571429,18.4195,9.33878571428571,5.87571428571429,20.2369642857143,0.0205,57.9109642857143,52.8635714285714,55.3315714285714,56.70975,bh,aa,N,asp,21,voiced,-3.38663667123118,low,falling,obstruent,0.5
F1,bhaam2,3,7,328.853,161.39425,161.0085,161.875964285714,19.2156428571429,-6.06392857142857,19.3678928571429,37.3304642857143,37.51875,25.7624642857143,13.8348571428571,6.991,0.00353571428571429,40.3063571428571,43.8341071428571,47.183,49.6365357142857,bh,aa,N,asp,21,voiced,-3.29937227574132,low,falling,obstruent,0.6
F1,bhaam2,3,8,328.853,152.698821428571,153.195607142857,157.9645,18.8474642857143,-8.00057142857143,25.4521071428571,45.8850714285714,41.3641428571429,30.9313928571429,17.4961785714286,1.79060714285714,0.00325,41.34075,47.6383928571429,50.3524285714286,52.6187142857143,bh,aa,N,asp,21,voiced,-4.16051537130003,low,falling,obstruent,0.7
F1,bhaam2,3,9,328.853,143.503892857143,144.002642857143,146.455857142857,18.3613928571429,-5.84803571428571,23.45375,39.4848571428571,43.0094642857143,32.8472142857143,19.4048214285714,0.605357142857143,0.00242857142857143,43.1425357142857,48.9595714285714,52.3214285714286,54.2481785714286,bh,aa,N,asp,21,voiced,-5.23187104374407,low,falling,obstruent,0.8
F1,bhaam2,3,10,328.853,140.927785714286,140.905892857143,141.726392857143,18.23225,-4.22428571428571,22.3796428571429,47.2342857142857,49.2685714285714,36.9185714285714,19.7388928571429,2.31078571428571,0.00167857142857143,46.3526428571429,52.0635,55.2935357142857,57.0382857142857,bh,aa,N,asp,21,voiced,-5.60823113903799,low,falling,obstruent,0.9
F1,bhaam2,3,11,328.853,140.006653846154,139.877423076923,140.545,15.0320769230769,-0.363692307692308,23.4942307692308,51.7648076923077,53.2431923076923,40.6339230769231,17.7462692307692,-0.231307692307692,0.001,41.3133846153846,49.4203076923077,53.6984615384615,55.5689230769231,bh,aa,N,asp,21,voiced,-5.73505704099069,low,falling,obstruent,1
